Gender,CustomerType,Age,TypeofTravel,Class,FlightDistancemiles,Inflightwifiservice,DepartureArrivaltimeconvenient,EaseofOnlinebooking,Gatelocation,Foodanddrink,Onlineboarding,Seatcomfort,Inflightentertainment,Onboardservice,Legroomservice,Baggagehandling,Checkinservice,Inflightservice,Cleanliness,DepartureDelayinMinutes,ArrivalDelayinMinutes,satisfaction
Male,Loyal Customer,50,Personal Travel,Eco,663,1,2,1,2,2,1,3,2,3,4,1,4,3,2,0,0,neutralordissatisfied
Female,Loyal Customer,21,Business travel,Business,1118,4,4,4,4,5,5,5,5,1,4,1,3,3,5,5,0,satisfied
Male,Loyal Customer,67,Personal Travel,Eco,1313,2,5,2,3,3,2,3,3,3,5,5,4,5,3,21,13,neutralordissatisfied
Female,disloyal Customer,54,Business travel,Business,139,4,5,5,1,3,4,3,3,3,4,5,4,5,3,0,0,satisfied
Male,Loyal Customer,26,Business travel,Business,3974,3,3,3,3,3,3,3,3,1,3,3,4,3,3,4,1,neutralordissatisfied
Male,Loyal Customer,49,Personal Travel,Eco,197,2,2,2,2,2,2,2,2,3,1,2,2,2,2,42,31,neutralordissatisfied
Female,Loyal Customer,13,Personal Travel,Business,861,4,3,4,4,5,4,1,5,2,3,2,4,2,5,0,0,neutralordissatisfied
Male,Loyal Customer,45,Business travel,Business,2968,1,1,1,1,3,5,4,5,5,5,5,5,5,5,0,0,satisfied
Female,Loyal Customer,72,Business travel,Business,3579,2,1,5,5,2,2,2,2,2,2,2,1,2,4,16,16,neutralordissatisfied
Female,Loyal Customer,39,Business travel,Eco,419,3,4,4,4,3,3,3,3,2,1,3,4,4,3,7,30,neutralordissatisfied
Female,Loyal Customer,60,Business travel,Eco,509,2,2,2,2,3,3,3,2,2,2,2,4,2,4,0,0,neutralordissatisfied
Female,disloyal Customer,25,Business travel,Eco,352,1,0,1,3,4,1,4,4,4,1,2,5,1,4,12,5,neutralordissatisfied
Male,disloyal Customer,64,Business travel,Business,404,4,4,4,2,1,4,1,1,5,3,5,4,4,1,20,9,neutralordissatisfied
Male,Loyal Customer,17,Personal Travel,Eco,627,2,4,2,1,5,2,5,5,5,5,4,4,5,5,0,13,neutralordissatisfied
Female,Loyal Customer,35,Business travel,Eco,361,1,5,5,5,1,1,1,1,2,2,3,2,3,1,5,24,neutralordissatisfied
Female,Loyal Customer,52,Business travel,Business,224,1,1,1,1,2,4,5,5,5,5,5,3,5,3,1,14,satisfied
Male,Loyal Customer,52,Business travel,Business,1843,5,5,5,5,1,5,2,3,3,3,3,3,3,5,0,0,satisfied
Female,Loyal Customer,16,Personal Travel,Eco Plus,677,2,2,2,2,4,2,4,4,3,1,1,4,2,4,9,4,neutralordissatisfied
Male,disloyal Customer,23,Business travel,Business,166,0,2,0,3,2,2,2,2,4,3,4,3,4,2,0,0,satisfied
Female,Loyal Customer,62,Business travel,Eco,213,1,4,4,4,1,4,4,1,1,1,1,2,1,3,0,0,neutralordissatisfied
Male,Loyal Customer,55,Business travel,Business,581,4,4,4,4,3,4,5,5,5,5,5,5,5,5,0,0,satisfied
Male,Loyal Customer,47,Business travel,Business,2253,4,4,4,4,5,5,4,5,5,5,5,4,5,3,0,0,satisfied
Female,Loyal Customer,62,Business travel,Business,2493,5,5,5,5,2,5,4,4,4,4,4,4,4,4,8,8,satisfied
Male,Loyal Customer,48,Business travel,Business,711,4,4,4,4,2,5,4,5,5,5,5,4,5,5,11,0,satisfied
Male,disloyal Customer,35,Business travel,Eco,1558,3,3,3,4,4,3,4,4,3,3,4,3,4,4,15,30,neutralordissatisfied
Female,Loyal Customer,53,Personal Travel,Eco,250,4,5,4,3,5,5,4,3,3,4,3,3,3,4,68,61,neutralordissatisfied
Male,Loyal Customer,7,Personal Travel,Eco,315,4,5,4,3,5,4,5,5,3,1,4,3,5,5,0,15,neutralordissatisfied
Female,Loyal Customer,63,Personal Travel,Eco,212,2,1,2,3,4,4,3,3,3,2,3,1,3,1,23,18,neutralordissatisfied
Male,Loyal Customer,59,Business travel,Business,517,5,4,5,5,5,5,5,5,5,5,5,4,5,3,0,0,satisfied
Male,Loyal Customer,46,Business travel,Business,1794,5,5,2,5,3,4,4,4,4,4,4,5,4,3,2,0,satisfied
Female,disloyal Customer,40,Business travel,Business,427,2,2,2,3,2,2,2,2,4,2,4,5,4,2,0,0,neutralordissatisfied
Female,Loyal Customer,52,Business travel,Business,3076,5,5,5,5,3,4,5,4,4,4,4,4,4,5,38,32,satisfied
Male,Loyal Customer,36,Business travel,Business,850,1,4,4,4,4,3,4,1,1,1,1,4,1,1,7,6,neutralordissatisfied
Male,Loyal Customer,55,Business travel,Eco,2399,3,4,4,4,3,3,3,3,3,4,1,3,3,3,22,2,neutralordissatisfied
Male,Loyal Customer,46,Business travel,Business,373,5,5,5,5,2,4,5,5,5,4,5,5,5,3,0,0,satisfied
Female,Loyal Customer,8,Personal Travel,Eco,429,1,1,1,3,2,1,4,2,3,4,3,3,4,2,0,4,neutralordissatisfied
Female,Loyal Customer,37,Personal Travel,Eco,409,3,4,3,5,3,3,3,3,4,2,2,1,4,3,45,38,neutralordissatisfied
Male,Loyal Customer,60,Business travel,Business,2111,3,4,4,4,3,4,4,3,3,3,3,2,3,3,0,0,neutralordissatisfied
Female,Loyal Customer,65,Personal Travel,Eco,1276,4,2,4,4,4,2,2,3,3,2,4,2,3,2,401,435,neutralordissatisfied
Male,Loyal Customer,58,Business travel,Eco,1131,5,4,4,4,5,5,5,5,2,4,1,3,3,5,29,20,satisfied
Female,Loyal Customer,9,Personal Travel,Eco,1056,4,4,4,1,3,4,2,3,4,5,4,4,4,3,70,50,neutralordissatisfied
Female,Loyal Customer,24,Personal Travel,Eco,1158,1,3,1,3,2,1,2,2,1,3,3,4,4,2,0,0,neutralordissatisfied
Female,Loyal Customer,34,Business travel,Business,3158,4,4,4,4,4,4,1,5,5,5,5,1,5,4,0,0,satisfied
Female,Loyal Customer,45,Personal Travel,Eco,255,4,4,4,1,4,3,5,3,3,4,3,3,3,5,0,0,satisfied
Female,Loyal Customer,40,Business travel,Business,1945,4,4,4,4,2,4,5,5,5,5,5,4,5,5,0,0,satisfied
Male,Loyal Customer,68,Personal Travel,Eco,2611,1,2,1,2,1,2,2,1,4,2,3,2,3,2,0,0,neutralordissatisfied
Male,disloyal Customer,28,Business travel,Eco,1271,2,2,2,4,3,2,3,3,2,1,2,3,4,3,53,52,neutralordissatisfied
Male,Loyal Customer,29,Business travel,Business,1963,5,5,5,5,4,4,4,4,4,3,5,3,4,4,0,0,satisfied
Male,Loyal Customer,43,Business travel,Eco,200,2,2,5,2,2,2,2,2,4,1,3,3,4,2,6,0,neutralordissatisfied
Female,Loyal Customer,50,Personal Travel,Eco,187,2,4,2,3,2,2,2,4,4,2,4,4,4,3,0,0,neutralordissatisfied
Female,Loyal Customer,51,Business travel,Business,2409,5,5,5,5,5,4,4,4,4,4,4,3,4,3,33,26,satisfied
Male,Loyal Customer,37,Business travel,Business,1249,3,4,5,4,1,4,4,3,3,3,3,3,3,2,17,0,neutralordissatisfied
Female,Loyal Customer,66,Personal Travel,Eco,1444,5,4,5,1,2,5,4,5,5,5,4,5,5,5,0,0,satisfied
Female,Loyal Customer,59,Personal Travel,Eco,711,5,3,5,4,3,2,1,3,3,5,4,3,3,4,21,24,satisfied
Female,Loyal Customer,42,Business travel,Business,1086,4,4,5,4,5,4,4,4,4,4,4,4,4,4,0,0,satisfied
Male,Loyal Customer,42,Personal Travel,Eco,409,1,5,1,5,4,1,1,4,3,2,4,1,4,4,0,20,neutralordissatisfied
Male,Loyal Customer,30,Personal Travel,Eco,337,3,4,3,3,2,3,4,2,4,2,5,4,4,2,30,22,neutralordissatisfied
Female,Loyal Customer,57,Business travel,Business,2303,3,3,3,3,5,4,5,5,5,5,5,5,5,5,9,2,satisfied
Male,Loyal Customer,64,Personal Travel,Eco,316,3,5,3,2,1,3,1,1,1,4,1,3,2,1,0,0,neutralordissatisfied
Male,disloyal Customer,15,Business travel,Eco,542,0,0,0,2,3,0,1,3,5,3,4,3,4,3,10,0,satisfied
Female,Loyal Customer,48,Business travel,Eco,236,1,1,1,1,5,4,3,1,1,1,1,4,1,2,0,6,neutralordissatisfied
Female,Loyal Customer,51,Business travel,Business,3201,3,3,3,3,4,5,2,5,5,5,5,4,5,5,0,0,satisfied
Male,Loyal Customer,60,Personal Travel,Eco Plus,1009,1,2,1,3,5,1,5,5,4,1,4,3,4,5,0,0,neutralordissatisfied
Male,Loyal Customer,60,Personal Travel,Eco,371,3,1,3,3,4,3,4,4,3,4,3,3,3,4,0,0,neutralordissatisfied
Male,Loyal Customer,46,Personal Travel,Eco,1733,4,5,4,3,4,4,4,4,4,2,4,4,4,4,7,0,satisfied
Male,Loyal Customer,41,Personal Travel,Eco,283,2,4,2,3,4,2,4,4,3,4,4,3,5,4,15,9,neutralordissatisfied
Male,disloyal Customer,35,Business travel,Eco,1376,2,2,2,3,2,5,5,1,2,2,2,5,1,5,0,0,neutralordissatisfied
Male,Loyal Customer,36,Business travel,Business,2631,4,4,4,4,5,5,5,1,1,4,5,5,1,5,0,30,satisfied
Female,Loyal Customer,60,Business travel,Business,1555,5,5,5,5,5,5,5,3,2,5,5,5,3,5,223,212,satisfied
Male,Loyal Customer,29,Business travel,Business,1514,2,2,2,2,4,4,4,4,5,5,4,5,4,4,9,24,satisfied
Male,Loyal Customer,40,Personal Travel,Eco,554,2,4,2,3,4,2,4,4,4,4,5,3,4,4,0,3,neutralordissatisfied
Male,Loyal Customer,46,Personal Travel,Eco,2588,2,5,2,1,2,5,5,3,2,4,1,5,1,5,0,27,neutralordissatisfied
Male,Loyal Customer,42,Personal Travel,Eco,2640,1,5,1,3,1,1,1,1,5,3,4,3,4,1,0,0,neutralordissatisfied
Male,Loyal Customer,59,Business travel,Business,134,0,4,0,3,2,4,5,3,3,3,3,4,3,4,0,0,satisfied
Male,Loyal Customer,31,Personal Travel,Eco,867,1,5,1,3,4,1,4,4,4,4,4,5,4,4,0,6,neutralordissatisfied
Female,Loyal Customer,20,Business travel,Eco Plus,151,1,3,3,3,1,1,4,1,2,1,4,2,4,1,0,17,neutralordissatisfied
Female,disloyal Customer,26,Business travel,Eco Plus,925,2,2,2,4,4,2,2,4,4,1,4,2,3,4,65,51,neutralordissatisfied
Male,Loyal Customer,35,Business travel,Eco,230,2,5,5,5,2,2,2,2,2,1,2,5,3,2,0,0,satisfied
Male,Loyal Customer,64,Personal Travel,Eco,1671,2,4,2,3,3,2,3,3,1,4,2,5,1,3,0,0,neutralordissatisfied
Male,Loyal Customer,15,Business travel,Business,749,3,3,3,3,4,4,4,4,5,5,5,5,5,4,12,15,satisfied
Male,Loyal Customer,42,Business travel,Business,3228,3,3,3,3,2,4,5,4,4,4,4,5,4,3,0,0,satisfied
Male,Loyal Customer,46,Business travel,Business,391,3,3,3,3,2,4,5,5,5,5,5,4,5,3,2,0,satisfied
Male,Loyal Customer,35,Personal Travel,Eco,406,2,5,3,3,5,3,5,5,5,3,4,3,4,5,6,0,neutralordissatisfied
Male,disloyal Customer,39,Business travel,Business,859,5,4,4,4,2,4,2,2,5,2,5,5,4,2,0,0,satisfied
Female,Loyal Customer,9,Business travel,Business,3787,2,1,1,1,2,2,2,2,3,1,4,2,4,2,0,0,neutralordissatisfied
Female,Loyal Customer,15,Personal Travel,Eco,533,1,4,1,5,2,1,5,2,4,2,4,4,5,2,0,0,neutralordissatisfied
Female,Loyal Customer,46,Business travel,Business,1514,2,2,4,2,3,4,4,5,5,5,5,4,5,4,0,0,satisfied
Female,disloyal Customer,25,Business travel,Eco,1024,1,1,1,3,3,1,3,3,5,4,4,3,4,3,5,3,neutralordissatisfied
Female,disloyal Customer,19,Business travel,Eco,431,2,1,2,4,2,4,5,1,3,4,4,5,3,5,103,242,neutralordissatisfied
Female,disloyal Customer,22,Business travel,Eco,468,3,1,3,3,4,3,4,4,2,4,3,1,4,4,1,0,neutralordissatisfied
Male,disloyal Customer,27,Business travel,Business,391,5,5,5,4,2,5,4,2,5,2,5,4,4,2,25,17,satisfied
Male,disloyal Customer,23,Business travel,Eco,735,3,3,3,3,3,1,1,3,3,4,5,1,5,1,339,319,neutralordissatisfied
Female,Loyal Customer,79,Business travel,Eco Plus,116,2,2,2,2,4,4,3,2,2,2,2,1,2,4,15,4,neutralordissatisfied
Male,Loyal Customer,44,Business travel,Business,3447,5,5,4,5,2,5,4,4,4,4,4,3,4,4,64,47,satisfied
Female,Loyal Customer,30,Personal Travel,Eco,1020,1,2,0,3,5,0,5,5,4,1,3,4,3,5,50,35,neutralordissatisfied
Male,Loyal Customer,51,Business travel,Eco,919,3,2,2,2,4,3,4,4,4,2,4,2,3,4,0,0,neutralordissatisfied
Male,Loyal Customer,35,Personal Travel,Eco,1142,3,5,3,2,5,3,4,5,5,3,4,2,4,5,0,0,neutralordissatisfied
Male,Loyal Customer,41,Business travel,Business,2419,4,4,2,4,3,4,5,5,5,5,5,5,5,4,0,0,satisfied
Male,Loyal Customer,40,Business travel,Business,1892,3,2,3,3,4,5,4,2,2,2,2,3,2,3,0,0,satisfied
Male,Loyal Customer,15,Personal Travel,Business,308,3,1,3,1,4,3,4,4,1,3,1,2,2,4,0,0,neutralordissatisfied
Male,Loyal Customer,42,Business travel,Business,951,2,2,2,2,5,5,5,2,2,2,2,3,2,4,59,73,satisfied
Male,Loyal Customer,43,Business travel,Eco,1694,2,5,5,5,2,2,2,2,4,5,3,1,4,2,20,9,neutralordissatisfied
Male,Loyal Customer,11,Personal Travel,Eco,1444,1,2,1,4,4,1,4,4,3,1,4,3,3,4,0,0,neutralordissatisfied
Female,Loyal Customer,43,Business travel,Business,912,4,5,4,4,4,5,5,4,4,4,4,5,4,5,0,0,satisfied
Female,Loyal Customer,51,Personal Travel,Eco,1086,2,4,1,3,3,4,5,5,5,1,5,5,5,3,0,2,neutralordissatisfied
Male,Loyal Customer,17,Personal Travel,Eco,255,5,2,5,2,5,5,5,5,1,3,3,3,3,5,0,0,satisfied
Male,Loyal Customer,45,Business travel,Business,459,4,4,4,4,4,5,4,4,4,4,4,3,4,5,0,2,satisfied
Male,disloyal Customer,45,Business travel,Business,719,5,5,5,2,3,5,3,3,5,2,4,5,4,3,0,0,satisfied
Male,Loyal Customer,38,Personal Travel,Eco,591,3,4,2,2,1,2,1,1,3,3,5,3,5,1,0,0,neutralordissatisfied
Male,Loyal Customer,24,Personal Travel,Eco,113,5,1,0,2,1,0,1,1,4,5,2,1,2,1,0,0,satisfied
Female,Loyal Customer,56,Business travel,Eco,612,1,1,1,1,1,3,3,1,1,1,1,1,1,3,109,115,neutralordissatisfied
Male,Loyal Customer,37,Business travel,Business,1199,1,1,1,1,3,4,2,5,5,4,5,5,5,3,0,0,satisfied
Male,Loyal Customer,32,Personal Travel,Eco,1154,3,4,4,1,2,4,2,2,5,5,4,4,4,2,0,0,neutralordissatisfied
Female,Loyal Customer,33,Business travel,Business,207,1,1,1,1,3,3,3,1,1,1,1,4,1,1,0,0,neutralordissatisfied
Male,Loyal Customer,43,Business travel,Business,691,2,4,4,4,4,4,4,2,2,2,2,3,2,1,0,0,neutralordissatisfied
Male,Loyal Customer,61,Personal Travel,Eco,733,2,5,2,5,1,2,1,1,4,3,4,1,5,1,0,0,neutralordissatisfied
Male,Loyal Customer,50,Business travel,Business,1066,3,3,3,3,2,5,5,5,5,5,5,3,5,5,9,0,satisfied
Female,disloyal Customer,22,Business travel,Business,101,4,4,4,1,5,4,5,5,3,5,5,2,3,5,0,0,satisfied
Female,Loyal Customer,16,Business travel,Eco,1127,3,4,4,4,3,3,3,3,1,2,4,2,4,3,0,0,neutralordissatisfied
Male,Loyal Customer,54,Personal Travel,Eco,541,2,5,2,5,4,2,4,4,5,4,1,1,4,4,0,0,neutralordissatisfied
Female,Loyal Customer,44,Business travel,Eco,507,2,5,5,5,2,4,4,3,3,2,3,4,3,2,0,0,neutralordissatisfied
Female,Loyal Customer,54,Business travel,Eco,376,5,1,1,1,5,1,3,5,5,5,5,2,5,4,42,39,satisfied
Female,Loyal Customer,58,Personal Travel,Eco,2556,4,5,4,1,3,3,5,3,3,4,3,3,3,4,0,1,neutralordissatisfied
Female,Loyal Customer,49,Business travel,Business,1653,1,1,3,1,3,4,3,1,1,1,1,1,1,3,51,17,neutralordissatisfied
Female,Loyal Customer,65,Personal Travel,Eco,1390,2,2,2,4,3,4,3,3,3,2,1,1,3,4,55,47,neutralordissatisfied
Male,disloyal Customer,79,Business travel,Business,139,4,4,4,4,5,4,4,3,3,4,3,4,3,5,4,4,satisfied
Female,disloyal Customer,25,Business travel,Eco,1069,3,4,4,3,3,3,3,3,2,3,3,4,4,3,0,0,neutralordissatisfied
Male,Loyal Customer,44,Business travel,Business,3135,5,5,5,5,2,5,5,4,4,4,4,4,4,4,0,0,satisfied
Female,Loyal Customer,14,Personal Travel,Eco,472,2,0,2,4,3,2,3,3,5,5,5,4,5,3,0,0,neutralordissatisfied
Female,disloyal Customer,24,Business travel,Eco,262,3,0,3,4,1,3,1,1,4,2,3,5,1,1,2,0,neutralordissatisfied
Male,Loyal Customer,64,Personal Travel,Eco,1590,3,5,3,4,1,3,1,1,3,4,5,5,5,1,0,0,neutralordissatisfied
Male,Loyal Customer,42,Business travel,Business,1598,4,4,4,4,3,5,4,5,5,5,5,3,5,5,19,0,satisfied
Male,Loyal Customer,65,Personal Travel,Eco,1129,1,4,2,4,5,2,4,5,5,3,5,3,4,5,28,44,neutralordissatisfied
Female,Loyal Customer,57,Business travel,Eco,140,4,3,3,3,5,1,5,4,4,4,4,2,4,4,0,0,satisfied
Female,Loyal Customer,16,Personal Travel,Eco,602,2,5,2,5,2,2,2,2,1,3,4,1,2,2,0,0,neutralordissatisfied
Female,disloyal Customer,25,Business travel,Business,472,5,0,4,3,2,4,2,2,5,5,4,5,4,2,0,0,satisfied
Male,Loyal Customer,50,Business travel,Business,846,3,3,3,3,4,4,4,4,4,4,4,3,4,5,1,0,satisfied
Male,Loyal Customer,55,Business travel,Eco,612,3,1,1,1,3,3,3,3,2,5,3,4,4,3,0,0,neutralordissatisfied
Male,Loyal Customer,51,Business travel,Business,2639,1,1,1,1,5,4,4,4,4,4,4,3,4,3,0,0,satisfied
Male,disloyal Customer,25,Business travel,Business,472,2,0,2,4,4,2,4,4,5,1,3,2,1,4,50,62,neutralordissatisfied
Female,disloyal Customer,14,Business travel,Eco,1211,1,0,0,3,2,0,2,2,3,4,3,2,4,2,6,1,neutralordissatisfied
Female,Loyal Customer,24,Personal Travel,Eco,391,3,5,3,3,4,3,4,4,1,4,4,2,2,4,5,8,neutralordissatisfied
Female,Loyal Customer,50,Business travel,Business,2092,3,3,3,3,5,5,4,4,4,5,4,5,4,3,0,0,satisfied
Male,Loyal Customer,34,Business travel,Eco Plus,406,2,1,1,1,2,2,2,2,4,3,4,4,4,2,34,26,neutralordissatisfied
Female,Loyal Customer,52,Business travel,Eco,986,2,1,1,1,4,4,4,2,2,2,2,3,2,3,0,0,neutralordissatisfied
Male,Loyal Customer,25,Business travel,Business,2365,1,1,5,1,4,5,4,4,3,5,2,4,2,4,0,0,satisfied
Male,disloyal Customer,24,Business travel,Eco,1491,1,1,1,3,1,1,1,1,2,1,4,2,4,1,0,0,neutralordissatisfied
Male,Loyal Customer,67,Personal Travel,Eco,760,3,5,3,1,4,3,4,4,4,2,4,4,4,4,0,4,neutralordissatisfied
Male,disloyal Customer,25,Business travel,Business,1173,4,5,4,1,5,4,5,5,5,4,5,4,4,5,45,42,satisfied
